Alter;Beruf;Familienstand;Ausbildung;Ausgefallen;Kontostand;Eigentum;Darlehen;Dauer;Label
28;Servicekraft;ledig;Allgemeine Hochschulreife;0;2685;0;1;5;0
38;unbekannt;ledig;Hochschulabschluss;0;8669;1;0;5;0
36;Freiberufler;verheiratet;Allgemeine Hochschulreife;0;-280;0;0;6;0
49;Techniker;verheiratet;Allgemeine Hochschulreife;0;-205;1;1;6;0
43;Freiberufler;verheiratet;Allgemeine Hochschulreife;0;0;0;0;6;0
23;Angestellter;ledig;Allgemeine Hochschulreife;0;0;1;0;6;0
39;Techniker;ledig;Allgemeine Hochschulreife;0;0;1;0;6;0
28;Angestellter;verheiratet;Allgemeine Hochschulreife;0;0;1;0;6;0
46;Selbständig;geschieden;Allgemeine Hochschulreife;0;0;0;0;6;0
40;Hausgehilfin;verheiratet;Hochschulabschluss;0;0;0;0;6;0
26;unbekannt;ledig;Hochschulabschluss;0;1;0;0;6;0
34;Angestellter;verheiratet;Allgemeine Hochschulreife;0;2;1;0;6;0
34;Beamter;ledig;Allgemeine Hochschulreife;0;43;1;0;6;0
37;Angestellter;verheiratet;Allgemeine Hochschulreife;0;80;1;1;6;0
25;Angestellter;ledig;Allgemeine Hochschulreife;0;84;1;0;6;0
39;Angestellter;verheiratet;Mittlere Reife;0;143;1;0;6;0
34;Beamter;ledig;Allgemeine Hochschulreife;0;239;0;0;6;0
36;unbekannt;ledig;Hochschulabschluss;0;339;0;0;6;0
49;Hausgehilfin;verheiratet;Mittlere Reife;0;360;0;0;6;0
46;Techniker;verheiratet;Allgemeine Hochschulreife;0;388;0;0;6;0
43;Angestellter;verheiratet;Allgemeine Hochschulreife;0;408;1;0;6;0
29;unbekannt;geschieden;Hochschulabschluss;0;559;1;0;6;0
29;Arbeitslos;ledig;Allgemeine Hochschulreife;0;670;1;0;6;0
21;Student;ledig;Allgemeine Hochschulreife;0;681;0;0;6;0
22;unbekannt;ledig;Hochschulabschluss;0;760;0;0;6;0
46;unbekannt;verheiratet;Allgemeine Hochschulreife;0;766;1;0;6;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;884;1;0;6;0
42;unbekannt;ledig;Allgemeine Hochschulreife;0;900;1;0;6;0
36;Arbeitslos;verheiratet;Allgemeine Hochschulreife;0;923;0;0;6;0
53;Beamter;verheiratet;Allgemeine Hochschulreife;0;1203;0;0;6;0
30;unbekannt;verheiratet;Hochschulabschluss;0;1288;0;0;6;0
27;unbekannt;ledig;Hochschulabschluss;0;1377;0;0;6;0
34;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;1553;1;0;6;0
50;unbekannt;verheiratet;Hochschulabschluss;0;1822;1;0;6;0
29;Beamter;verheiratet;Allgemeine Hochschulreife;0;1937;0;0;6;0
48;Angestellter;verheiratet;Mittlere Reife;0;3267;1;0;6;0
41;Servicekraft;ledig;Mittlere Reife;0;5907;1;0;6;0
34;unbekannt;ledig;Hochschulabschluss;0;-362;1;1;7;0
48;Angestellter;geschieden;Allgemeine Hochschulreife;0;-314;1;0;7;0
39;Techniker;ledig;Allgemeine Hochschulreife;0;-168;0;0;7;0
52;Angestellter;geschieden;Mittlere Reife;0;-100;1;0;7;0
24;Techniker;ledig;Allgemeine Hochschulreife;0;-73;1;0;7;0
48;Techniker;geschieden;Allgemeine Hochschulreife;0;-63;0;1;7;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;-17;1;0;7;0
32;Angestellter;verheiratet;Allgemeine Hochschulreife;0;0;1;0;7;0
32;Student;ledig;unbekannt;0;0;0;0;7;0
49;unbekannt;verheiratet;Hochschulabschluss;0;1;1;0;7;0
43;Angestellter;verheiratet;Allgemeine Hochschulreife;0;2;1;1;7;0
30;Angestellter;verheiratet;Mittlere Reife;0;2;1;1;7;0
48;Beamter;geschieden;Allgemeine Hochschulreife;0;4;1;0;7;0
42;Techniker;ledig;Allgemeine Hochschulreife;0;49;0;0;7;0
28;Angestellter;ledig;Allgemeine Hochschulreife;0;75;0;0;7;0
26;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;104;0;0;7;0
34;unbekannt;ledig;Hochschulabschluss;0;151;1;0;7;0
37;unbekannt;ledig;Hochschulabschluss;0;156;0;0;7;0
42;Angestellter;ledig;Mittlere Reife;0;156;1;0;7;0
47;Angestellter;ledig;Mittlere Reife;0;159;1;0;7;0
50;Rentner;verheiratet;Mittlere Reife;0;172;1;1;7;0
50;Angestellter;verheiratet;Allgemeine Hochschulreife;0;173;1;0;7;0
37;Angestellter;verheiratet;Allgemeine Hochschulreife;0;222;1;0;7;0
35;Techniker;ledig;Allgemeine Hochschulreife;0;225;1;0;7;0
29;Arbeitslos;verheiratet;Hochschulabschluss;0;241;0;0;7;0
27;Angestellter;verheiratet;Allgemeine Hochschulreife;0;245;1;0;7;0
33;Angestellter;verheiratet;Allgemeine Hochschulreife;0;249;1;0;7;0
55;Arbeitslos;ledig;Mittlere Reife;0;274;0;0;7;0
44;Beamter;ledig;Allgemeine Hochschulreife;0;275;1;0;7;0
40;Techniker;ledig;Allgemeine Hochschulreife;0;281;1;0;7;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;305;1;0;7;0
33;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;312;1;1;7;0
33;Beamter;verheiratet;Allgemeine Hochschulreife;0;347;1;0;7;0
35;unbekannt;ledig;Allgemeine Hochschulreife;0;356;1;0;7;0
51;Techniker;geschieden;Hochschulabschluss;0;363;1;0;7;0
23;unbekannt;ledig;Hochschulabschluss;0;377;0;0;7;0
44;unbekannt;verheiratet;unbekannt;0;415;1;0;7;0
39;Angestellter;verheiratet;Mittlere Reife;0;467;1;0;7;0
48;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;515;1;0;7;0
47;Beamter;verheiratet;Allgemeine Hochschulreife;0;520;0;0;7;0
47;Selbständig;verheiratet;Allgemeine Hochschulreife;0;523;0;0;7;0
30;Beamter;ledig;Allgemeine Hochschulreife;0;585;0;1;7;0
33;Techniker;geschieden;Allgemeine Hochschulreife;0;948;0;0;7;0
30;Selbständig;ledig;Allgemeine Hochschulreife;0;1031;0;0;7;0
34;Techniker;ledig;Allgemeine Hochschulreife;0;1087;0;0;7;0
31;Techniker;verheiratet;Allgemeine Hochschulreife;0;1230;0;0;7;0
33;Angestellter;verheiratet;Allgemeine Hochschulreife;0;1722;1;0;7;0
40;Angestellter;ledig;Mittlere Reife;0;2226;1;0;7;0
36;unbekannt;verheiratet;Hochschulabschluss;0;2326;1;0;7;0
33;Freiberufler;verheiratet;Allgemeine Hochschulreife;0;3140;1;1;7;0
43;Angestellter;verheiratet;Allgemeine Hochschulreife;0;3549;1;0;7;0
37;Techniker;ledig;Allgemeine Hochschulreife;0;5436;1;0;7;0
27;Beamter;ledig;Allgemeine Hochschulreife;0;6492;0;0;7;0
40;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;9374;1;0;7;0
45;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;-1621;1;1;8;0
57;Beamter;verheiratet;Allgemeine Hochschulreife;0;-967;1;0;8;0
50;Angestellter;verheiratet;Allgemeine Hochschulreife;1;-812;0;1;8;0
47;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;-553;1;0;8;0
39;Beamter;geschieden;Allgemeine Hochschulreife;0;-427;1;0;8;0
51;Angestellter;verheiratet;Allgemeine Hochschulreife;0;0;1;0;8;0
36;Angestellter;verheiratet;Mittlere Reife;0;0;1;0;8;0
38;Angestellter;ledig;Allgemeine Hochschulreife;0;0;0;0;8;0
26;Arbeitslos;ledig;Allgemeine Hochschulreife;0;4;0;0;8;0
45;Beamter;verheiratet;Allgemeine Hochschulreife;0;14;0;1;8;0
46;Arbeitslos;geschieden;Allgemeine Hochschulreife;1;22;0;0;8;0
27;Student;ledig;Mittlere Reife;1;25;0;0;8;0
32;Servicekraft;ledig;Allgemeine Hochschulreife;0;48;1;0;8;0
37;Angestellter;verheiratet;Allgemeine Hochschulreife;0;91;1;0;8;0
50;Angestellter;verheiratet;Mittlere Reife;0;111;1;0;8;0
50;unbekannt;verheiratet;Allgemeine Hochschulreife;0;125;1;1;8;0
51;unbekannt;verheiratet;Hochschulabschluss;0;176;1;1;8;0
30;unbekannt;ledig;Hochschulabschluss;0;179;0;0;8;0
21;Student;ledig;unbekannt;0;200;0;0;8;0
26;Beamter;ledig;Allgemeine Hochschulreife;0;236;1;1;8;0
36;Selbständig;ledig;Allgemeine Hochschulreife;0;245;1;0;8;0
45;Beamter;verheiratet;Allgemeine Hochschulreife;0;285;0;0;8;0
51;Techniker;geschieden;Mittlere Reife;0;300;0;1;8;0
38;Techniker;geschieden;Hochschulabschluss;0;304;1;0;8;0
51;Techniker;ledig;Hochschulabschluss;0;318;0;0;8;0
47;Hausgehilfin;verheiratet;Hochschulabschluss;0;333;0;0;8;0
55;unbekannt;verheiratet;Mittlere Reife;0;338;1;0;8;0
35;Techniker;ledig;Allgemeine Hochschulreife;0;353;1;0;8;0
27;Beamter;ledig;Allgemeine Hochschulreife;0;416;0;0;8;0
43;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;488;1;0;8;0
29;Beamter;verheiratet;Allgemeine Hochschulreife;0;500;1;0;8;0
45;Beamter;verheiratet;Mittlere Reife;0;542;0;0;8;0
32;Techniker;verheiratet;Allgemeine Hochschulreife;0;580;1;0;8;0
47;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;600;1;1;8;0
54;Angestellter;verheiratet;Allgemeine Hochschulreife;0;844;0;0;8;0
49;unbekannt;verheiratet;Hochschulabschluss;0;942;0;0;8;0
23;Arbeitslos;ledig;Mittlere Reife;0;1003;0;0;8;1
55;unbekannt;verheiratet;Hochschulabschluss;0;1161;1;0;8;0
36;Selbständig;verheiratet;Allgemeine Hochschulreife;0;1245;1;0;8;0
33;unbekannt;ledig;Hochschulabschluss;0;1410;1;0;8;0
27;Student;ledig;Allgemeine Hochschulreife;0;1423;0;0;8;0
40;Angestellter;ledig;Mittlere Reife;0;1530;1;0;8;0
33;Techniker;ledig;Hochschulabschluss;0;2164;1;0;8;0
57;Servicekraft;geschieden;Mittlere Reife;0;2225;1;0;8;0
51;Selbständig;verheiratet;Hochschulabschluss;0;2235;0;0;8;0
34;Angestellter;verheiratet;Allgemeine Hochschulreife;0;2436;1;0;8;0
36;unbekannt;ledig;Hochschulabschluss;0;3850;1;0;8;0
53;Servicekraft;geschieden;Allgemeine Hochschulreife;0;4554;0;0;8;0
30;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;4867;1;1;8;0
60;unbekannt;verheiratet;Hochschulabschluss;0;5041;0;0;8;0
38;unbekannt;ledig;Hochschulabschluss;0;6742;0;0;8;0
34;unbekannt;verheiratet;Hochschulabschluss;0;6808;1;0;8;0
38;unbekannt;verheiratet;Hochschulabschluss;0;14352;0;0;8;0
44;Arbeitslos;verheiratet;Hochschulabschluss;0;17747;1;0;8;1
56;unbekannt;verheiratet;Mittlere Reife;1;-255;1;0;9;0
34;Angestellter;ledig;Allgemeine Hochschulreife;0;-231;1;0;9;0
33;Angestellter;verheiratet;Mittlere Reife;0;-195;0;0;9;0
31;Techniker;verheiratet;Allgemeine Hochschulreife;0;-119;1;0;9;0
31;Freiberufler;verheiratet;Mittlere Reife;0;-98;1;0;9;0
36;Angestellter;verheiratet;Allgemeine Hochschulreife;0;-53;1;0;9;0
29;Techniker;ledig;Allgemeine Hochschulreife;0;-2;1;1;9;0
32;unbekannt;ledig;Hochschulabschluss;0;0;0;0;9;0
43;Techniker;verheiratet;Allgemeine Hochschulreife;0;0;0;1;9;0
39;Angestellter;ledig;Allgemeine Hochschulreife;0;0;1;0;9;0
25;unbekannt;ledig;Hochschulabschluss;0;1;1;0;9;0
28;Servicekraft;verheiratet;Mittlere Reife;0;3;1;0;9;0
49;Rentner;verheiratet;Mittlere Reife;0;18;0;0;9;0
33;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;56;1;0;9;0
21;Student;ledig;Allgemeine Hochschulreife;0;57;0;0;9;0
44;Techniker;ledig;Allgemeine Hochschulreife;0;59;1;0;9;0
29;Beamter;ledig;Allgemeine Hochschulreife;0;65;1;0;9;0
46;Angestellter;verheiratet;Mittlere Reife;0;67;0;0;9;0
27;unbekannt;ledig;Hochschulabschluss;0;102;0;0;9;0
36;Angestellter;verheiratet;Mittlere Reife;0;123;1;0;9;0
31;unbekannt;verheiratet;Hochschulabschluss;0;140;0;0;9;0
30;Techniker;ledig;Allgemeine Hochschulreife;0;167;0;0;9;0
49;Techniker;verheiratet;Hochschulabschluss;0;196;0;0;9;0
55;Selbständig;verheiratet;Allgemeine Hochschulreife;0;203;1;0;9;0
54;Angestellter;geschieden;Allgemeine Hochschulreife;0;244;1;1;9;0
40;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;278;1;0;9;0
37;Angestellter;ledig;Allgemeine Hochschulreife;0;292;0;0;9;0
43;Freiberufler;verheiratet;Mittlere Reife;0;346;1;0;9;0
41;Hausgehilfin;verheiratet;Mittlere Reife;0;379;0;1;9;0
49;Servicekraft;verheiratet;Hochschulabschluss;0;411;0;0;9;0
40;Beamter;verheiratet;Allgemeine Hochschulreife;0;457;0;0;9;0
34;unbekannt;ledig;Allgemeine Hochschulreife;0;524;0;0;9;0
51;Techniker;verheiratet;Allgemeine Hochschulreife;0;614;1;0;9;0
35;unbekannt;verheiratet;Hochschulabschluss;0;775;0;0;9;0
46;Angestellter;verheiratet;Mittlere Reife;0;859;1;0;9;0
33;Angestellter;verheiratet;Allgemeine Hochschulreife;0;983;0;0;9;0
44;Beamter;ledig;Allgemeine Hochschulreife;0;985;1;1;9;0
39;Angestellter;verheiratet;Allgemeine Hochschulreife;0;1419;1;0;9;0
38;Beamter;ledig;Allgemeine Hochschulreife;0;1560;1;0;9;0
28;Freiberufler;verheiratet;Hochschulabschluss;0;1900;1;0;9;0
37;Selbständig;verheiratet;Allgemeine Hochschulreife;0;2203;0;1;9;0
47;Angestellter;verheiratet;Allgemeine Hochschulreife;0;2428;1;0;9;0
38;Techniker;ledig;Hochschulabschluss;0;2443;0;0;9;0
35;Techniker;ledig;Allgemeine Hochschulreife;0;2496;1;0;9;0
37;Angestellter;ledig;Allgemeine Hochschulreife;0;3111;1;0;9;0
24;Angestellter;ledig;Allgemeine Hochschulreife;0;-424;1;0;10;0
44;Angestellter;verheiratet;Allgemeine Hochschulreife;0;-182;1;1;10;0
30;Student;ledig;Hochschulabschluss;0;0;0;0;10;0
51;Angestellter;verheiratet;unbekannt;0;0;1;0;10;0
38;Techniker;ledig;Allgemeine Hochschulreife;0;0;0;0;10;0
27;Angestellter;ledig;Mittlere Reife;0;1;0;0;10;0
29;Angestellter;geschieden;Mittlere Reife;0;2;1;0;10;0
28;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;4;1;0;10;0
34;Angestellter;verheiratet;Hochschulabschluss;0;20;0;0;10;0
40;Angestellter;geschieden;Mittlere Reife;0;54;1;0;10;0
36;unbekannt;ledig;Hochschulabschluss;0;72;1;1;10;0
40;unbekannt;geschieden;Allgemeine Hochschulreife;0;108;0;0;10;0
27;Techniker;verheiratet;Hochschulabschluss;0;176;1;0;10;0
37;Angestellter;verheiratet;Allgemeine Hochschulreife;0;195;1;0;10;0
38;Beamter;verheiratet;Allgemeine Hochschulreife;0;257;1;0;10;0
34;Angestellter;verheiratet;Allgemeine Hochschulreife;0;322;1;0;10;0
28;Angestellter;verheiratet;Allgemeine Hochschulreife;0;373;1;0;10;0
45;Beamter;ledig;Allgemeine Hochschulreife;0;375;0;1;10;0
38;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;387;1;0;10;0
34;unbekannt;ledig;Hochschulabschluss;0;404;1;0;10;0
38;Techniker;verheiratet;Hochschulabschluss;0;432;1;0;10;0
27;unbekannt;ledig;Hochschulabschluss;0;438;1;0;10;0
39;Freiberufler;verheiratet;Hochschulabschluss;0;442;0;0;10;0
34;Hausgehilfin;ledig;Mittlere Reife;0;443;0;0;10;0
41;Angestellter;verheiratet;Mittlere Reife;0;449;1;0;10;0
57;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;530;1;0;10;0
34;Techniker;verheiratet;Allgemeine Hochschulreife;0;656;1;0;10;0
48;Rentner;geschieden;Mittlere Reife;0;666;1;0;10;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;667;1;0;10;0
31;Beamter;ledig;Allgemeine Hochschulreife;0;690;0;0;10;0
30;Techniker;verheiratet;Allgemeine Hochschulreife;0;769;1;0;10;0
31;Techniker;verheiratet;Allgemeine Hochschulreife;0;783;0;0;10;0
42;Angestellter;ledig;unbekannt;0;961;1;0;10;0
49;Beamter;ledig;Allgemeine Hochschulreife;0;981;1;0;10;0
43;Freiberufler;verheiratet;Mittlere Reife;0;1318;1;1;10;0
44;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;1864;1;0;10;0
49;unbekannt;verheiratet;Hochschulabschluss;0;2037;0;0;10;0
37;Angestellter;verheiratet;Allgemeine Hochschulreife;0;2066;1;1;10;0
32;unbekannt;ledig;Hochschulabschluss;0;2223;0;0;10;0
30;Freiberufler;verheiratet;Hochschulabschluss;0;3037;1;0;10;0
27;unbekannt;ledig;unbekannt;0;3196;0;0;10;0
36;unbekannt;verheiratet;Hochschulabschluss;0;14462;1;0;10;1
32;Techniker;verheiratet;Allgemeine Hochschulreife;0;-684;1;0;11;0
42;Techniker;verheiratet;Hochschulabschluss;0;-378;1;1;11;0
53;Angestellter;verheiratet;Allgemeine Hochschulreife;0;-108;1;0;11;0
38;unbekannt;geschieden;Allgemeine Hochschulreife;0;-17;0;0;11;0
37;Servicekraft;verheiratet;Hochschulabschluss;0;0;1;0;11;0
54;Techniker;verheiratet;Allgemeine Hochschulreife;0;0;1;0;11;0
39;unbekannt;verheiratet;Hochschulabschluss;0;0;1;0;11;0
37;Beamter;ledig;Allgemeine Hochschulreife;0;16;0;0;11;0
26;Angestellter;ledig;Allgemeine Hochschulreife;0;23;1;0;11;0
25;Student;verheiratet;Allgemeine Hochschulreife;0;37;0;0;11;0
27;Servicekraft;ledig;Allgemeine Hochschulreife;0;44;0;0;11;0
50;Angestellter;verheiratet;Mittlere Reife;0;65;1;0;11;0
34;Beamter;geschieden;Allgemeine Hochschulreife;0;66;0;0;11;0
53;Techniker;verheiratet;Mittlere Reife;0;70;1;0;11;0
33;Servicekraft;ledig;Allgemeine Hochschulreife;0;100;1;0;11;0
31;Arbeitslos;ledig;Hochschulabschluss;0;140;1;0;11;0
42;Angestellter;verheiratet;Mittlere Reife;0;142;1;0;11;0
48;Servicekraft;geschieden;Allgemeine Hochschulreife;0;142;1;0;11;0
35;unbekannt;ledig;Hochschulabschluss;0;151;0;0;11;0
35;Angestellter;geschieden;Allgemeine Hochschulreife;0;164;1;0;11;0
30;Angestellter;ledig;Mittlere Reife;0;185;0;0;11;0
34;Arbeitslos;ledig;Allgemeine Hochschulreife;0;233;1;0;11;0
22;Student;ledig;Allgemeine Hochschulreife;0;249;0;0;11;0
37;unbekannt;verheiratet;Hochschulabschluss;0;257;0;0;11;0
40;unbekannt;ledig;Hochschulabschluss;0;269;1;0;11;0
21;Student;ledig;Mittlere Reife;0;281;0;0;11;0
26;Beamter;verheiratet;Allgemeine Hochschulreife;0;284;0;0;11;0
46;Angestellter;ledig;Allgemeine Hochschulreife;0;332;0;0;11;0
58;unbekannt;geschieden;Hochschulabschluss;0;372;0;1;11;1
34;Angestellter;verheiratet;Allgemeine Hochschulreife;0;393;1;0;11;0
35;Servicekraft;ledig;Allgemeine Hochschulreife;0;414;1;0;11;0
36;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;417;0;1;11;0
28;Techniker;ledig;Hochschulabschluss;0;426;0;0;11;0
32;Angestellter;ledig;Allgemeine Hochschulreife;0;427;0;0;11;0
34;Angestellter;verheiratet;Allgemeine Hochschulreife;0;463;1;0;11;0
37;Angestellter;ledig;Hochschulabschluss;0;481;0;0;11;0
40;unbekannt;verheiratet;Mittlere Reife;0;535;1;0;11;0
35;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;537;0;1;11;0
27;Angestellter;verheiratet;Allgemeine Hochschulreife;0;556;1;0;11;0
28;Beamter;verheiratet;Allgemeine Hochschulreife;0;568;1;0;11;0
30;Angestellter;ledig;Allgemeine Hochschulreife;0;574;0;0;11;0
43;unbekannt;verheiratet;unbekannt;0;587;1;0;11;0
33;unbekannt;verheiratet;Allgemeine Hochschulreife;0;588;1;0;11;0
28;Beamter;verheiratet;Allgemeine Hochschulreife;0;788;1;0;11;0
34;Arbeitslos;verheiratet;Hochschulabschluss;0;822;0;0;11;0
26;Student;ledig;Allgemeine Hochschulreife;0;963;0;0;11;0
48;Beamter;geschieden;Allgemeine Hochschulreife;0;1033;0;1;11;0
39;unbekannt;verheiratet;Hochschulabschluss;0;1090;1;0;11;0
33;Techniker;verheiratet;Hochschulabschluss;0;1126;1;0;11;0
30;unbekannt;verheiratet;Hochschulabschluss;0;1251;0;0;11;0
52;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;1351;1;0;11;0
33;Beamter;ledig;Allgemeine Hochschulreife;0;1834;1;0;11;0
32;Techniker;ledig;Hochschulabschluss;0;2204;1;0;11;0
51;unbekannt;ledig;Hochschulabschluss;0;2242;0;0;11;0
32;unbekannt;ledig;Hochschulabschluss;0;2360;0;0;11;0
43;unbekannt;ledig;Hochschulabschluss;0;2731;0;0;11;0
26;Servicekraft;ledig;Hochschulabschluss;0;2803;0;0;11;0
34;Beamter;verheiratet;Allgemeine Hochschulreife;0;2984;1;0;11;0
33;unbekannt;ledig;Hochschulabschluss;0;3495;1;1;11;0
50;unbekannt;ledig;unbekannt;0;4666;0;0;11;0
34;Hausgehilfin;verheiratet;Hochschulabschluss;0;4958;1;0;11;0
56;Rentner;verheiratet;Allgemeine Hochschulreife;0;5737;0;0;11;0
30;Angestellter;ledig;Allgemeine Hochschulreife;0;8950;1;0;11;0
33;unbekannt;geschieden;Hochschulabschluss;0;-848;1;0;12;0
41;unbekannt;verheiratet;Hochschulabschluss;0;-608;1;0;12;0
42;Angestellter;verheiratet;Mittlere Reife;0;-336;1;0;12;0
43;Techniker;ledig;Allgemeine Hochschulreife;0;-266;1;1;12;0
34;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;-52;0;0;12;0
41;Freiberufler;verheiratet;Allgemeine Hochschulreife;0;0;1;1;12;0
29;Servicekraft;ledig;Allgemeine Hochschulreife;0;0;0;0;12;0
50;Techniker;verheiratet;Hochschulabschluss;0;72;0;0;12;0
32;Techniker;verheiratet;Allgemeine Hochschulreife;0;106;0;0;12;0
33;Techniker;ledig;Hochschulabschluss;0;109;1;1;12;0
31;Selbständig;verheiratet;Hochschulabschluss;1;147;1;0;12;0
35;Beamter;ledig;Hochschulabschluss;0;170;0;0;12;0
35;Beamter;geschieden;Allgemeine Hochschulreife;0;183;0;1;12;0
41;Techniker;verheiratet;Allgemeine Hochschulreife;0;190;0;0;12;0
29;Angestellter;verheiratet;Allgemeine Hochschulreife;0;228;1;0;12;0
26;Student;ledig;Hochschulabschluss;0;251;1;0;12;0
27;Arbeitslos;ledig;Allgemeine Hochschulreife;0;259;1;0;12;0
29;Beamter;ledig;Allgemeine Hochschulreife;0;291;0;0;12;0
32;Beamter;geschieden;Allgemeine Hochschulreife;0;298;1;0;12;0
43;Techniker;verheiratet;Mittlere Reife;0;321;1;0;12;0
41;Angestellter;geschieden;Allgemeine Hochschulreife;0;351;1;0;12;0
56;Techniker;verheiratet;Allgemeine Hochschulreife;0;378;1;1;12;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;407;1;0;12;0
33;Arbeitslos;ledig;Allgemeine Hochschulreife;0;427;0;0;12;0
50;Freiberufler;verheiratet;Mittlere Reife;0;431;1;0;12;0
37;unbekannt;verheiratet;Hochschulabschluss;0;489;1;1;12;0
48;Angestellter;geschieden;Allgemeine Hochschulreife;0;501;1;0;12;0
24;Student;ledig;Allgemeine Hochschulreife;0;508;1;0;12;0
32;Arbeitslos;ledig;Hochschulabschluss;0;586;1;0;12;0
32;Servicekraft;ledig;Allgemeine Hochschulreife;0;659;1;0;12;0
57;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;668;1;1;12;0
53;unbekannt;verheiratet;Hochschulabschluss;0;696;1;0;12;0
24;Student;ledig;unbekannt;0;782;0;0;12;0
33;unbekannt;ledig;Hochschulabschluss;0;794;0;0;12;0
49;Freiberufler;geschieden;Allgemeine Hochschulreife;0;816;1;0;12;0
35;Techniker;ledig;Hochschulabschluss;0;817;1;0;12;0
38;unbekannt;verheiratet;Allgemeine Hochschulreife;0;844;0;0;12;0
40;Beamter;ledig;Allgemeine Hochschulreife;0;877;1;0;12;0
55;Beamter;ledig;Allgemeine Hochschulreife;1;986;0;1;12;0
38;Angestellter;verheiratet;Allgemeine Hochschulreife;0;1027;1;0;12;0
